,时间 (Time),指标A (index A),指标B (index B),指标C (index C),指标D (index D),Unnamed: 5,Unnamed: 6,T1,T2
0,2022-01-13 00:50:00,78.26,25.54,12.24,14.14,,,[1173.63],[813.92]
1,2022-01-13 01:50:00,78.16,25.27,12.24,14.32,,,[854.55],[767.64]
2,2022-01-13 02:50:00,78.15,26.21,12.93,14.59,,,[855.34],[767.99]
3,2022-01-13 03:50:00,78.39,25.22,12.93,14.28,,,[853.57],[766.2]
4,2022-01-13 04:50:00,79.22,24.6,12.41,13.7,,,[854.81],[768.08]
5,2022-01-13 05:50:00,79.52,23.88,11.55,13.56,,,[594.59],[686.44]
6,2022-01-13 06:50:00,80.04,23.48,11.55,13.47,,,[595.],[686.57]
7,2022-01-13 07:50:00,80.51,22.41,11.72,13.38,,,[595.22],[686.44]
8,2022-01-13 08:50:00,79.18,23.97,12.24,13.79,,,[594.69],[686.45]
9,2022-01-13 09:50:00,79.56,24.02,12.41,14.95,,,[877.17],[758.44]
10,2022-01-13 10:50:00,79.76,24.06,11.89,15.58,,,[876.38],[758.12]
11,2022-01-13 11:50:00,79.29,23.93,12.24,17.05,,,[876.82],[758.58]
12,2022-01-13 12:50:00,79.45,23.34,11.72,17.23,,,[876.96],[758.34]
13,2022-01-13 13:50:00,79.28,23.3,11.37,16.52,,,[876.86],[758.4]
14,2022-01-13 14:50:00,79.96,22.81,11.37,16.47,,,[877.04],[758.42]
15,2022-01-13 15:50:00,80.41,21.91,10.68,17.72,,,[876.82],[758.41]
16,2022-01-13 16:50:00,80.09,22.36,11.03,16.87,,,[1375.2],[830.14]
17,2022-01-13 17:50:00,79.87,23.26,10.68,17.01,,,[1375.07],[830.09]
18,2022-01-13 18:50:00,80.26,23.21,10.34,16.65,,,[1374.23],[829.53]
19,2022-01-13 19:50:00,80.0,23.21,10.68,16.78,,,[1376.26],[830.27]
20,2022-01-13 20:50:00,79.59,24.37,11.37,18.21,,,[1390.89],[841.49]
21,2022-01-13 21:50:00,79.59,24.55,11.72,19.11,,,[1389.61],[840.43]
22,2022-01-13 22:50:00,79.56,24.19,11.89,20.45,,,[1389.12],[841.28]
23,2022-01-13 23:50:00,79.07,24.64,12.07,15.22,,,[1389.16],[840.5]
24,2022-01-14 00:50:00,79.22,24.15,12.59,13.07,,,[1388.77],[840.33]
25,2022-01-14 01:50:00,80.06,23.26,11.72,12.89,,,[1288.93],[826.44]
26,2022-01-14 02:50:00,79.78,22.99,11.55,11.77,,,[1289.47],[826.62]
27,2022-01-14 03:50:00,79.41,23.57,11.2,12.36,,,[1396.37],[841.69]
28,2022-01-14 04:50:00,80.0,23.3,11.37,12.62,,,[1396.45],[841.66]
29,2022-01-14 05:50:00,80.16,23.12,11.2,13.12,,,[1396.64],[841.52]
30,2022-01-14 06:50:00,80.19,22.76,11.03,13.83,,,[1395.09],[840.9]
31,2022-01-14 07:50:00,79.37,24.02,12.07,13.52,,,[1396.68],[841.41]
32,2022-01-14 08:50:00,79.18,24.37,11.89,14.1,,,[1395.88],[841.5]
33,2022-01-14 09:50:00,80.04,22.9,10.51,14.68,,,[1396.37],[841.49]
34,2022-01-14 10:50:00,79.83,23.93,10.85,17.54,,,[1396.24],[841.55]
35,2022-01-14 11:50:00,80.65,21.87,9.82,16.43,,,[1395.93],[841.5]
36,2022-01-14 12:50:00,80.14,22.94,10.51,15.89,,  ,[1396.5],[841.63]
37,2022-01-14 13:50:00,79.07,23.66,11.2,17.68,,,[1396.98],[841.8]
38,2022-01-14 14:50:00,79.72,22.09,10.34,18.44,,,[1396.59],[841.88]
39,2022-01-14 15:50:00,79.45,23.08,11.03,16.07,,,[1396.11],[841.74]
40,2022-01-14 16:50:00,80.45,21.33,10.16,16.69,,,[1396.15],[841.42]
41,2022-01-14 17:50:00,80.61,20.62,9.99,17.23,,,[1397.3],[841.6]
42,2022-01-14 18:50:00,80.07,22.85,11.55,17.36,,,[1396.19],[841.61]
43,2022-01-14 19:50:00,80.88,22.45,11.03,18.8,,,[1396.64],[841.77]
44,2022-01-14 20:50:00,80.26,22.76,11.37,19.91,,,[1398.01],[842.51]
45,2022-01-14 21:50:00,80.57,23.03,11.55,15.31,,,[1395.75],[841.38]
46,2022-01-14 22:50:00,80.44,22.99,11.37,15.04,,,[1395.57],[841.44]
47,2022-01-14 23:50:00,80.21,22.49,11.37,14.01,,,[1395.84],[841.41]
48,2022-01-15 00:50:00,79.51,22.54,11.2,13.7,,,[1396.1],[841.57]
49,2022-01-15 01:50:00,80.77,22.14,11.37,13.3,,,[1397.16],[841.93]
50,2022-01-15 02:50:00,80.48,22.54,11.03,13.03,,,[1395.7],[841.03]
51,2022-01-15 03:50:00,80.3,22.63,10.68,13.34,,,[1395.75],[841.36]
52,2022-01-15 04:50:00,80.96,21.78,10.34,12.49,,,[1395.79],[840.82]
53,2022-01-15 05:50:00,81.05,21.6,10.51,12.49,,,[1396.63],[841.5]
54,2022-01-15 06:50:00,81.27,21.42,10.51,12.89,,,[1396.72],[841.61]
55,2022-01-15 07:50:00,81.67,21.82,10.68,12.85,,,[1396.28],[841.36]
56,2022-01-15 08:50:00,81.12,23.39,11.2,13.34,,,[1396.63],[841.79]
57,2022-01-15 09:50:00,80.44,24.69,10.34,18.3,,,[1396.32],[841.51]
58,2022-01-15 10:50:00,79.38,25.31,11.03,19.78,,,[1396.37],[841.72]
59,2022-01-15 11:50:00,79.58,24.69,11.2,18.39,,,[1140.61],[804.75]
60,2022-01-15 12:50:00,77.87,25.31,12.59,16.69,,,[1140.57],[804.95]
61,2022-01-15 13:50:00,78.36,25.22,12.41,16.07,,,[1140.17],[804.66]
62,2022-01-15 14:50:00,78.31,24.6,11.89,15.22,,,[868.82],[752.51]
63,2022-01-15 15:50:00,78.67,24.64,11.55,13.83,,,[580.41],[634.02]
64,2022-01-15 16:50:00,78.67,24.91,12.07,16.87,,,[580.72],[633.9]
65,2022-01-15 17:50:00,78.52,25.27,11.89,16.96,,,[580.59],[633.81]
66,2022-01-15 18:50:00,77.73,25.22,12.24,16.25,,,[580.24],[633.71]
67,2022-01-15 19:50:00,79.68,23.48,10.68,19.06,,,[306.23],[574.15]
68,2022-01-15 20:50:00,78.97,25.09,11.89,22.11,,,[305.53],[574.32]
69,2022-01-15 21:50:00,79.21,23.93,11.72,26.17,,,[304.24],[574.39]
70,2022-01-15 22:50:00,79.35,23.21,11.55,27.38,,,[306.81],[574.65]
71,2022-01-15 23:50:00,80.02,22.9,11.55,23.04,,,[305.34],[574.2]
72,2022-01-16 00:50:00,80.53,22.49,11.55,19.11,,,[306.36],[574.42]
73,2022-01-16 01:50:00,81.16,21.65,11.55,16.96,,,[572.41],[595.57]
74,2022-01-16 02:50:00,80.19,22.27,11.2,15.26,,,[572.9],[596.1]
75,2022-01-16 03:50:00,80.16,21.6,10.85,13.65,,,[868.51],[723.9]
76,2022-01-16 04:50:00,78.62,23.79,11.72,13.25,,,[1150.25],[767.68]
77,2022-01-16 05:50:00,79.0,23.66,12.07,13.52,,,[1150.61],[768.43]
78,2022-01-16 06:50:00,78.74,23.52,11.55,14.46,,,[1151.09],[768.58]
79,2022-01-16 07:50:00,78.31,25.13,12.07,16.11,,,[1151.4],[768.89]
80,2022-01-16 08:50:00,77.36,26.25,12.41,15.08,,,[1151.22],[768.58]
81,2022-01-16 09:50:00,78.46,25.85,12.59,16.74,,,[862.28],[654.24]
82,2022-01-16 10:50:00,79.31,23.79,12.41,18.97,,,[717.81],[633.13]
83,2022-01-16 11:50:00,79.76,22.49,11.37,17.14,,,[716.88],[632.9]
84,2022-01-16 12:50:00,80.04,21.96,11.37,15.26,,,[717.94],[633.04]
85,2022-01-16 13:50:00,79.27,22.9,11.72,13.97,,,[790.16],[745.77]
86,2022-01-16 14:50:00,78.09,24.28,12.24,14.73,,,[1006.49],[776.64]
87,2022-01-16 15:50:00,78.31,23.88,12.07,12.58,,,[717.63],[735.3]
88,2022-01-16 16:50:00,79.25,23.52,12.59,12.36,,,[717.28],[734.8]
89,2022-01-16 17:50:00,78.76,24.64,12.59,14.23,,,[717.28],[734.49]
90,2022-01-16 18:50:00,79.0,23.75,12.07,14.95,,,[594.11],[716.68]
91,2022-01-16 19:50:00,79.01,24.82,12.41,15.31,,,[594.24],[677.11]
92,2022-01-16 20:50:00,79.08,25.4,12.93,15.89,,,[510.98],[649.72]
93,2022-01-16 21:50:00,78.74,24.91,12.93,15.58,,,[443.98],[635.74]
94,2022-01-16 22:50:00,80.06,24.15,13.11,14.77,,,[298.85],[575.89]
95,2022-01-16 23:50:00,79.87,21.33,11.55,14.01,,,[298.01],[575.58]
96,2022-01-17 00:50:00,81.47,20.35,10.85,13.16,,,[298.27],[575.82]
97,2022-01-17 01:50:00,81.52,20.21,10.68,13.16,,,[436.77],[638.24]
98,2022-01-17 02:50:00,80.61,22.23,12.41,13.07,,,[725.5],[700.51]
99,2022-01-17 03:50:00,80.4,22.05,12.41,13.03,,,[724.84],[699.58]
100,2022-01-17 04:50:00,79.03,23.43,13.97,15.13,,,[861.58],[729.46]
101,2022-01-17 05:50:00,79.05,23.52,13.8,15.4,,,[998.44],[759.06]
102,2022-01-17 06:50:00,78.76,23.66,13.45,15.31,,,[998.66],[758.95]
103,2022-01-17 07:50:00,79.75,24.42,12.59,15.89,,,[999.28],[759.03]
104,2022-01-17 08:50:00,79.89,23.93,12.59,16.02,,,[998.89],[759.24]
105,2022-01-17 09:50:00,79.79,25.04,12.93,18.66,,,[998.27],[758.83]
106,2022-01-17 10:50:00,79.89,23.12,12.76,22.46,,,[861.84],[729.61]
107,2022-01-17 11:50:00,79.62,23.93,12.76,19.15,,,[861.21],[729.19]
108,2022-01-17 12:50:00,79.59,23.43,12.59,15.8,,,[861.7],[729.2]
109,2022-01-17 13:50:00,80.44,22.18,12.07,13.61,,,[862.54],[729.48]
110,2022-01-17 14:50:00,80.16,23.03,12.41,12.09,,,[998.18],[786.61]
111,2022-01-17 15:50:00,79.89,22.99,12.41,12.62,,,[999.46],[786.99]
112,2022-01-17 16:50:00,79.75,22.85,12.76,13.97,,,[998.66],[786.74]
113,2022-01-17 17:50:00,79.71,22.41,12.59,15.75,,,[998.84],[786.85]
114,2022-01-17 18:50:00,80.13,21.82,12.41,16.56,,,[999.02],[786.86]
115,2022-01-17 19:50:00,79.58,24.73,12.93,16.11,,,[999.06],[787.05]
116,2022-01-17 20:50:00,78.63,24.24,12.76,15.53,,,[1136.94],[816.71]
117,2022-01-17 21:50:00,78.91,23.61,12.24,15.93,,,[1136.72],[816.69]
118,2022-01-17 22:50:00,79.07,23.57,12.76,15.49,,,[1135.71],[816.02]
119,2022-01-17 23:50:00,79.28,23.17,11.89,14.28,,,[1135.98],[816.55]
120,2022-01-18 00:50:00,79.92,22.45,11.55,13.56,,,[1136.42],[816.57]
121,2022-01-18 01:50:00,79.68,22.81,11.72,13.83,,,[1136.59],[816.49]
122,2022-01-18 02:50:00,81.23,21.42,11.37,14.32,,,[1135.71],[816.46]
123,2022-01-18 03:50:00,81.46,21.2,11.37,14.28,,,[1288.71],[849.72]
124,2022-01-18 04:50:00,81.53,21.11,11.03,13.25,,,[1404.01],[874.71]
125,2022-01-18 05:50:00,81.23,21.87,11.72,13.25,,,[1402.95],[874.]
126,2022-01-18 06:50:00,82.07,20.57,10.51,13.12,,,[1402.77],[802.26]
127,2022-01-18 07:50:00,81.67,20.48,9.82,14.82,,,[1403.13],[802.56]
128,2022-01-18 08:50:00,81.45,21.6,11.03,13.07,,,[1403.84],[802.84]
129,2022-01-18 09:50:00,82.63,20.84,10.34,12.67,,,[1403.18],[831.89]
130,2022-01-18 10:50:00,82.28,20.93,10.16,13.83,,,[1403.62],[874.49]
131,2022-01-18 11:50:00,81.5,21.65,10.16,12.76,,,[1402.99],[874.94]
132,2022-01-18 12:50:00,81.88,21.42,10.16,13.03,,,[1403.04],[874.45]
133,2022-01-18 13:50:00,81.2,21.69,11.03,18.89,,,[1403.49],[874.02]
134,2022-01-18 14:50:00,80.82,21.73,10.68,20.67,,,[1403.21],[831.98]
135,2022-01-18 15:50:00,80.58,21.65,10.85,21.3,,,[1403.26],[832.05]
136,2022-01-18 16:50:00,81.35,21.29,10.85,19.96,,,[1403.49],[832.39]
137,2022-01-18 17:50:00,81.33,21.29,10.85,19.29,,,[1404.32],[832.21]
138,2022-01-18 18:50:00,81.54,21.15,10.85,19.65,,,[1403.71],[832.07]
139,2022-01-18 19:50:00,80.03,22.76,11.89,17.72,,,[1404.15],[832.22]
140,2022-01-18 20:50:00,79.01,24.24,12.07,22.19,,,[1404.1],[832.21]
141,2022-01-18 21:50:00,79.08,24.28,12.24,19.91,,,[1403.57],[832.06]
142,2022-01-18 22:50:00,78.98,24.02,12.07,18.84,,,[1165.94],[797.3]
143,2022-01-18 23:50:00,79.79,23.3,11.72,15.8,,,[1164.97],[797.45]
144,2022-01-19 00:50:00,79.48,23.26,11.89,14.73,,,[1166.07],[798.71]
145,2022-01-19 01:50:00,79.42,23.3,11.72,14.64,,,[1165.19],[797.5]
146,2022-01-19 02:50:00,79.73,23.39,11.2,13.65,,,[1296.18],[816.36]
147,2022-01-19 03:50:00,79.92,23.03,11.2,13.47,,,[1295.82],[816.41]
148,2022-01-19 04:50:00,79.46,23.97,11.89,14.95,,,[1408.08],[833.05]
149,2022-01-19 05:50:00,80.03,23.3,11.72,14.55,,,[1406.71],[832.06]
150,2022-01-19 06:50:00,79.92,23.26,12.41,14.28,,,[1408.43],[832.79]
151,2022-01-19 07:50:00,80.2,23.17,13.11,14.19,,,[1407.99],[832.83]
152,2022-01-19 08:50:00,79.87,24.02,13.97,16.38,,,[1407.86],[833.03]
153,2022-01-19 09:50:00,80.64,24.37,13.45,16.16,,,[1408.21],[832.81]
154,2022-01-19 10:50:00,81.13,21.6,12.24,16.92,,,[1407.77],[832.66]
155,2022-01-19 11:50:00,81.35,21.24,12.41,19.02,,,[1407.72],[832.85]
156,2022-01-19 12:50:00,81.43,20.08,11.37,17.14,,,[1405.6],[830.84]
157,2022-01-19 13:50:00,80.72,22.14,13.45,15.31,,,[1408.35],[832.69]
158,2022-01-19 14:50:00,81.15,20.88,12.07,14.82,,,[1407.33],[832.49]
159,2022-01-19 15:50:00,80.28,22.27,13.8,14.95,,,[1408.12],[833.2]
160,2022-01-19 16:50:00,80.09,23.12,13.28,15.26,,,[1407.99],[832.85]
161,2022-01-19 17:50:00,79.62,22.76,13.11,17.86,,,[1407.24],[832.54]
162,2022-01-19 18:50:00,79.87,23.3,13.28,15.4,,,[1407.82],[832.73]
163,2022-01-19 19:50:00,81.11,21.51,11.89,21.61,,,[1408.16],[833.37]
164,2022-01-19 20:50:00,80.06,22.99,13.28,20.36,,,[1407.33],[832.74]
165,2022-01-19 21:50:00,81.87,21.73,12.93,21.61,,,[1406.85],[832.15]
166,2022-01-19 22:50:00,82.79,20.26,12.93,22.19,,,[1407.77],[832.64]
167,2022-01-19 23:50:00,80.47,22.23,12.76,21.03,,,[1407.94],[832.91]
168,2022-01-20 00:50:00,79.54,23.57,13.45,20.85,,,[1407.24],[832.74]
169,2022-01-20 01:50:00,79.25,24.06,13.28,20.58,,,[1407.5],[832.68]
170,2022-01-20 02:50:00,79.07,23.97,13.28,20.36,,,[1407.41],[832.58]
171,2022-01-20 03:50:00,79.1,23.52,12.59,20.09,,,[1407.33],[832.84]
172,2022-01-20 04:50:00,78.87,23.57,12.24,20.23,,,[1404.98],[831.72]
173,2022-01-20 05:50:00,78.83,23.84,12.07,18.75,,,[1407.19],[832.08]
174,2022-01-20 06:50:00,78.74,24.06,11.72,18.93,,,[],[]
175,2022-01-20 07:50:00,78.52,25.89,12.59,16.25,,,[],[]
176,2022-01-20 08:50:00,77.87,27.64,12.93,17.19,,,[],[]
177,2022-01-20 09:50:00,77.53,28.0,12.24,18.97,,,[1409.05],[875.7]
178,2022-01-20 10:50:00,77.95,26.34,12.76,18.97,,,[1141.72],[786.2]
179,2022-01-20 11:50:00,78.9,25.04,11.89,19.51,,,[855.39],[724.35]
180,2022-01-20 12:50:00,79.49,24.1,11.72,18.93,,,[856.67],[725.12]
181,2022-01-20 13:50:00,80.33,23.08,11.55,17.32,,,[855.21],[724.31]
182,2022-01-20 14:50:00,79.82,23.66,12.07,17.41,,,[856.],[724.96]
183,2022-01-20 15:50:00,79.25,24.42,12.07,16.16,,,[1167.97],[820.49]
184,2022-01-20 16:50:00,79.13,24.51,12.41,15.84,,,[1028.67],[796.71]
185,2022-01-20 17:50:00,79.15,23.97,12.41,15.8,,,[855.88],[760.21]
186,2022-01-20 18:50:00,79.76,23.52,12.41,17.77,,,[855.57],[759.05]
187,2022-01-20 19:50:00,80.38,23.84,13.45,17.81,,,[855.78],[759.52]
188,2022-01-20 20:53:00,79.41,25.76,13.28,18.17,,,[855.13],[758.42]
189,2022-01-20 21:50:00,79.28,25.89,13.45,20.0,,,[855.12],[758.2]
190,2022-01-20 22:50:00,79.22,24.73,13.63,21.43,,,[855.39],[759.06]
191,2022-01-20 23:50:00,80.27,23.3,13.11,21.21,,,[724.4],[790.1]
192,2022-01-21 00:50:00,80.67,22.99,12.93,18.97,,,[723.42],[730.52]
193,2022-01-21 01:50:00,81.02,22.54,12.76,16.34,,,[724.3],[781.06]
194,2022-01-21 02:50:00,81.47,20.57,11.2,16.16,,,[723.69],[781.]
195,2022-01-21 03:50:00,81.68,20.08,10.34,15.22,,,[1141.58],[853.34]
196,2022-01-21 04:50:00,80.4,22.27,12.24,16.02,,,[1141.72],[853.29]
197,2022-01-21 05:50:00,80.53,22.36,12.07,16.25,,,[1404.63],[898.65]
198,2022-01-21 06:50:00,80.27,22.72,11.89,16.11,,,[1404.59],[899.43]
199,2022-01-21 07:50:00,79.21,23.97,11.72,15.98,,,[1405.38],[899.26]
200,2022-01-21 08:50:00,79.34,23.48,11.55,16.25,,,[1404.58],[899.03]
201,2022-01-21 09:50:00,79.37,23.88,11.37,17.36,,,[1404.23],[899.09]
202,2022-01-21 10:50:00,79.73,23.75,11.55,17.86,,,[1404.68],[898.93]
203,2022-01-21 11:50:00,80.3,22.27,10.34,16.92,,,[1405.08],[899.13]
204,2022-01-21 12:50:00,79.56,23.43,10.85,15.4,,,[1405.07],[899.11]
205,2022-01-21 13:50:00,80.21,23.03,11.2,15.35,,,[1404.5],[898.93]
206,2022-01-21 14:50:00,80.21,22.67,10.68,14.19,,,[1405.21],[898.86]
207,2022-01-21 15:50:00,80.12,22.72,11.37,14.06,,,[1404.68],[898.89]
208,2022-01-21 16:50:00,80.3,22.67,11.2,15.71,,,[1405.82],[899.49]
209,2022-01-21 17:50:00,80.21,22.94,11.72,17.36,,,[1403.52],[897.32]
210,2022-01-21 18:50:00,80.37,23.03,12.24,18.13,,,[1404.36],[898.72]
211,2022-01-21 19:50:00,80.38,22.58,12.24,18.3,,,[1405.3],[899.02]
212,2022-01-21 20:50:00,80.55,24.19,12.07,19.15,,,[1404.68],[899.04]
213,2022-01-21 21:50:00,80.62,23.52,12.41,19.51,,,[1404.41],[898.7]
214,2022-01-21 22:50:00,80.65,22.94,12.24,19.11,,,[1404.55],[899.08]
215,2022-01-21 23:50:00,80.94,22.05,11.72,19.96,,,[1403.97],[898.42]
216,2022-01-22 00:50:00,80.67,22.05,11.55,19.51,,,[1403.75],[897.92]
217,2022-01-22 01:50:00,80.44,22.32,11.37,19.2,,,[1406.22],[900.33]
218,2022-01-22 02:50:00,79.49,23.52,11.37,17.99,,,[1404.01],[984.78]
219,2022-01-22 03:50:00,79.03,23.93,11.2,16.96,,,[1405.25],[985.19]
220,2022-01-22 04:50:00,79.52,23.48,11.2,17.59,,,[1405.52],[985.06]
221,2022-01-22 05:50:00,79.13,23.75,11.55,17.19,,,[1405.38],[985.18]
222,2022-01-22 06:50:00,79.24,23.79,11.37,17.54,,,[1404.94],[984.95]
223,2022-01-22 07:50:00,79.89,23.08,10.68,19.29,,,[1404.5],[984.84]
224,2022-01-22 08:50:00,79.92,23.84,10.85,21.7,,,[1405.56],[979.87]
225,2022-01-22 09:50:00,80.6,24.1,11.55,21.39,,,[1404.76],[979.69]
226,2022-01-22 10:50:00,80.58,23.21,10.85,20.41,,,[1404.99],[979.74]
227,2022-01-22 11:50:00,80.92,22.67,10.85,19.47,,,[1405.38],[931.23]
228,2022-01-22 12:50:00,81.18,22.27,10.51,18.62,,,[1404.36],[930.43]
229,2022-01-22 13:50:00,80.82,22.72,10.68,18.17,,,[1405.21],[931.96]
230,2022-01-22 14:50:00,80.4,22.58,10.85,18.21,,,[1403.83],[931.32]
231,2022-01-22 15:50:00,80.1,22.63,11.37,17.41,,,[1404.32],[930.86]
232,2022-01-22 16:50:00,79.83,23.17,12.07,17.14,,,[1405.78],[931.71]
233,2022-01-22 17:50:00,80.26,22.54,11.72,17.05,,,[1406.05],[932.16]
234,2022-01-22 18:50:00,79.55,22.45,11.55,16.96,,,[1404.32],[931.43]
235,2022-01-22 19:50:00,79.76,22.0,11.72,18.84,,,[1404.68],[930.64]
236,2022-01-22 20:49:00,80.51,22.0,11.37,18.53,,,[1404.85],[931.36]
237,2022-01-22 21:50:00,80.16,21.78,10.85,17.9,,,[1404.76],[931.28]
238,2022-01-22 22:50:00,79.79,22.58,11.2,17.05,,,[1405.07],[931.12]
239,2022-01-22 23:50:00,80.19,21.69,10.68,17.19,,,[1404.98],[931.11]
