时间 (Time),时间 (Time),指标A (index A),指标B (index B),指标C (index C),指标D (index D),T1,T2,M1,M2,M3,M4
2022-01-13 00:50:00,2022-01-13 00:50:00,78.26,25.54,12.24,14.14,1173.63,813.92,49.24,90.38,46.13,28.16
2022-01-13 01:50:00,2022-01-13 01:50:00,78.16,25.27,12.24,14.32,854.55,767.64,49.24,90.38,46.13,28.16
2022-01-13 02:50:00,2022-01-13 02:50:00,78.15,26.21,12.93,14.59,855.34,767.99,49.24,90.38,46.13,28.16
2022-01-13 03:50:00,2022-01-13 03:50:00,78.39,25.22,12.93,14.28,853.57,766.2,49.24,90.38,46.13,28.16
2022-01-13 04:50:00,2022-01-13 04:50:00,79.22,24.6,12.41,13.7,854.81,768.08,49.24,90.38,46.13,28.16
2022-01-13 05:50:00,2022-01-13 05:50:00,79.52,23.88,11.55,13.56,594.59,686.44,49.24,90.38,46.13,28.16
2022-01-13 06:50:00,2022-01-13 06:50:00,80.04,23.48,11.55,13.47,595.0,686.57,49.24,90.38,46.13,28.16
2022-01-13 07:50:00,2022-01-13 07:50:00,80.51,22.41,11.72,13.38,595.22,686.44,49.24,90.38,46.13,28.16
2022-01-13 08:50:00,2022-01-13 08:50:00,79.18,23.97,12.24,13.79,594.69,686.45,49.24,90.38,46.13,28.16
2022-01-13 09:50:00,2022-01-13 09:50:00,79.56,24.02,12.41,14.95,877.17,758.44,49.24,90.38,46.13,28.16
2022-01-13 10:50:00,2022-01-13 10:50:00,79.76,24.06,11.89,15.58,876.38,758.12,49.24,90.38,46.13,28.16
2022-01-13 11:50:00,2022-01-13 11:50:00,79.29,23.93,12.24,17.05,876.82,758.58,49.24,90.38,46.13,28.16
2022-01-13 12:50:00,2022-01-13 12:50:00,79.45,23.34,11.72,17.23,876.96,758.34,49.24,90.38,46.13,28.16
2022-01-13 13:50:00,2022-01-13 13:50:00,79.28,23.3,11.37,16.52,876.86,758.4,49.24,90.38,46.13,28.16
2022-01-13 14:50:00,2022-01-13 14:50:00,79.96,22.81,11.37,16.47,877.04,758.42,49.24,90.38,46.13,28.16
2022-01-13 15:50:00,2022-01-13 15:50:00,80.41,21.91,10.68,17.72,876.82,758.41,49.24,90.38,46.13,28.16
2022-01-13 16:50:00,2022-01-13 16:50:00,80.09,22.36,11.03,16.87,1375.2,830.14,49.24,90.38,46.13,28.16
2022-01-13 17:50:00,2022-01-13 17:50:00,79.87,23.26,10.68,17.01,1375.07,830.09,49.24,90.38,46.13,28.16
2022-01-13 18:50:00,2022-01-13 18:50:00,80.26,23.21,10.34,16.65,1374.23,829.53,49.24,90.38,46.13,28.16
2022-01-13 19:50:00,2022-01-13 19:50:00,80.0,23.21,10.68,16.78,1376.26,830.27,49.24,90.38,46.13,28.16
2022-01-13 20:50:00,2022-01-13 20:50:00,79.59,24.37,11.37,18.21,1390.89,841.49,49.24,90.38,46.13,28.16
2022-01-13 21:50:00,2022-01-13 21:50:00,79.59,24.55,11.72,19.11,1389.61,840.43,49.24,90.38,46.13,28.16
2022-01-13 22:50:00,2022-01-13 22:50:00,79.56,24.19,11.89,20.45,1389.12,841.28,49.24,90.38,46.13,28.16
2022-01-13 23:50:00,2022-01-13 23:50:00,79.07,24.64,12.07,15.22,1389.16,840.5,49.24,90.38,46.13,28.16
2022-01-14 00:50:00,2022-01-14 00:50:00,79.22,24.15,12.59,13.07,1388.77,840.33,47.95,86.09,45.89,25.99
2022-01-14 01:50:00,2022-01-14 01:50:00,80.06,23.26,11.72,12.89,1288.93,826.44,47.95,86.09,45.89,25.99
2022-01-14 02:50:00,2022-01-14 02:50:00,79.78,22.99,11.55,11.77,1289.47,826.62,47.95,86.09,45.89,25.99
2022-01-14 03:50:00,2022-01-14 03:50:00,79.41,23.57,11.2,12.36,1396.37,841.69,47.95,86.09,45.89,25.99
2022-01-14 04:50:00,2022-01-14 04:50:00,80.0,23.3,11.37,12.62,1396.45,841.66,47.95,86.09,45.89,25.99
2022-01-14 05:50:00,2022-01-14 05:50:00,80.16,23.12,11.2,13.12,1396.64,841.52,47.95,86.09,45.89,25.99
2022-01-14 06:50:00,2022-01-14 06:50:00,80.19,22.76,11.03,13.83,1395.09,840.9,47.95,86.09,45.89,25.99
2022-01-14 07:50:00,2022-01-14 07:50:00,79.37,24.02,12.07,13.52,1396.68,841.41,47.95,86.09,45.89,25.99
2022-01-14 08:50:00,2022-01-14 08:50:00,79.18,24.37,11.89,14.1,1395.88,841.5,47.95,86.09,45.89,25.99
2022-01-14 09:50:00,2022-01-14 09:50:00,80.04,22.9,10.51,14.68,1396.37,841.49,47.95,86.09,45.89,25.99
2022-01-14 10:50:00,2022-01-14 10:50:00,79.83,23.93,10.85,17.54,1396.24,841.55,47.95,86.09,45.89,25.99
2022-01-14 11:50:00,2022-01-14 11:50:00,80.65,21.87,9.82,16.43,1395.93,841.5,47.95,86.09,45.89,25.99
2022-01-14 12:50:00,2022-01-14 12:50:00,80.14,22.94,10.51,15.89,1396.5,841.63,47.95,86.09,45.89,25.99
2022-01-14 13:50:00,2022-01-14 13:50:00,79.07,23.66,11.2,17.68,1396.98,841.8,47.95,86.09,45.89,25.99
2022-01-14 14:50:00,2022-01-14 14:50:00,79.72,22.09,10.34,18.44,1396.59,841.88,47.95,86.09,45.89,25.99
2022-01-14 15:50:00,2022-01-14 15:50:00,79.45,23.08,11.03,16.07,1396.11,841.74,47.95,86.09,45.89,25.99
2022-01-14 16:50:00,2022-01-14 16:50:00,80.45,21.33,10.16,16.69,1396.15,841.42,47.95,86.09,45.89,25.99
2022-01-14 17:50:00,2022-01-14 17:50:00,80.61,20.62,9.99,17.23,1397.3,841.6,47.95,86.09,45.89,25.99
2022-01-14 18:50:00,2022-01-14 18:50:00,80.07,22.85,11.55,17.36,1396.19,841.61,47.95,86.09,45.89,25.99
2022-01-14 19:50:00,2022-01-14 19:50:00,80.88,22.45,11.03,18.8,1396.64,841.77,47.95,86.09,45.89,25.99
2022-01-14 20:50:00,2022-01-14 20:50:00,80.26,22.76,11.37,19.91,1398.01,842.51,47.95,86.09,45.89,25.99
2022-01-14 21:50:00,2022-01-14 21:50:00,80.57,23.03,11.55,15.31,1395.75,841.38,47.95,86.09,45.89,25.99
2022-01-14 22:50:00,2022-01-14 22:50:00,80.44,22.99,11.37,15.04,1395.57,841.44,47.95,86.09,45.89,25.99
2022-01-14 23:50:00,2022-01-14 23:50:00,80.21,22.49,11.37,14.01,1395.84,841.41,47.95,86.09,45.89,25.99
2022-01-15 00:50:00,2022-01-15 00:50:00,79.51,22.54,11.2,13.7,1396.1,841.57,54.04,97.16,48.97,22.14
2022-01-15 01:50:00,2022-01-15 01:50:00,80.77,22.14,11.37,13.3,1397.16,841.93,54.04,97.16,48.97,22.14
2022-01-15 02:50:00,2022-01-15 02:50:00,80.48,22.54,11.03,13.03,1395.7,841.03,54.04,97.16,48.97,22.14
2022-01-15 03:50:00,2022-01-15 03:50:00,80.3,22.63,10.68,13.34,1395.75,841.36,54.04,97.16,48.97,22.14
2022-01-15 04:50:00,2022-01-15 04:50:00,80.96,21.78,10.34,12.49,1395.79,840.82,54.04,97.16,48.97,22.14
2022-01-15 05:50:00,2022-01-15 05:50:00,81.05,21.6,10.51,12.49,1396.63,841.5,54.04,97.16,48.97,22.14
2022-01-15 06:50:00,2022-01-15 06:50:00,81.27,21.42,10.51,12.89,1396.72,841.61,54.04,97.16,48.97,22.14
2022-01-15 07:50:00,2022-01-15 07:50:00,81.67,21.82,10.68,12.85,1396.28,841.36,54.04,97.16,48.97,22.14
2022-01-15 08:50:00,2022-01-15 08:50:00,81.12,23.39,11.2,13.34,1396.63,841.79,54.04,97.16,48.97,22.14
2022-01-15 09:50:00,2022-01-15 09:50:00,80.44,24.69,10.34,18.3,1396.32,841.51,54.04,97.16,48.97,22.14
2022-01-15 10:50:00,2022-01-15 10:50:00,79.38,25.31,11.03,19.78,1396.37,841.72,54.04,97.16,48.97,22.14
2022-01-15 11:50:00,2022-01-15 11:50:00,79.58,24.69,11.2,18.39,1140.61,804.75,54.04,97.16,48.97,22.14
2022-01-15 12:50:00,2022-01-15 12:50:00,77.87,25.31,12.59,16.69,1140.57,804.95,54.04,97.16,48.97,22.14
2022-01-15 13:50:00,2022-01-15 13:50:00,78.36,25.22,12.41,16.07,1140.17,804.66,54.04,97.16,48.97,22.14
2022-01-15 14:50:00,2022-01-15 14:50:00,78.31,24.6,11.89,15.22,868.82,752.51,54.04,97.16,48.97,22.14
2022-01-15 15:50:00,2022-01-15 15:50:00,78.67,24.64,11.55,13.83,580.41,634.02,54.04,97.16,48.97,22.14
2022-01-15 16:50:00,2022-01-15 16:50:00,78.67,24.91,12.07,16.87,580.72,633.9,54.04,97.16,48.97,22.14
2022-01-15 17:50:00,2022-01-15 17:50:00,78.52,25.27,11.89,16.96,580.59,633.81,54.04,97.16,48.97,22.14
2022-01-15 18:50:00,2022-01-15 18:50:00,77.73,25.22,12.24,16.25,580.24,633.71,54.04,97.16,48.97,22.14
2022-01-15 19:50:00,2022-01-15 19:50:00,79.68,23.48,10.68,19.06,306.23,574.15,54.04,97.16,48.97,22.14
2022-01-15 20:50:00,2022-01-15 20:50:00,78.97,25.09,11.89,22.11,305.53,574.32,54.04,97.16,48.97,22.14
2022-01-15 21:50:00,2022-01-15 21:50:00,79.21,23.93,11.72,26.17,304.24,574.39,54.04,97.16,48.97,22.14
2022-01-15 22:50:00,2022-01-15 22:50:00,79.35,23.21,11.55,27.38,306.81,574.65,54.04,97.16,48.97,22.14
2022-01-15 23:50:00,2022-01-15 23:50:00,80.02,22.9,11.55,23.04,305.34,574.2,54.04,97.16,48.97,22.14
2022-01-16 00:50:00,2022-01-16 00:50:00,80.53,22.49,11.55,19.11,306.36,574.42,54.55,99.46,45.04,22.19
2022-01-16 01:50:00,2022-01-16 01:50:00,81.16,21.65,11.55,16.96,572.41,595.57,54.55,99.46,45.04,22.19
2022-01-16 02:50:00,2022-01-16 02:50:00,80.19,22.27,11.2,15.26,572.9,596.1,54.55,99.46,45.04,22.19
2022-01-16 03:50:00,2022-01-16 03:50:00,80.16,21.6,10.85,13.65,868.51,723.9,54.55,99.46,45.04,22.19
2022-01-16 04:50:00,2022-01-16 04:50:00,78.62,23.79,11.72,13.25,1150.25,767.68,54.55,99.46,45.04,22.19
2022-01-16 05:50:00,2022-01-16 05:50:00,79.0,23.66,12.07,13.52,1150.61,768.43,54.55,99.46,45.04,22.19
2022-01-16 06:50:00,2022-01-16 06:50:00,78.74,23.52,11.55,14.46,1151.09,768.58,54.55,99.46,45.04,22.19
2022-01-16 07:50:00,2022-01-16 07:50:00,78.31,25.13,12.07,16.11,1151.4,768.89,54.55,99.46,45.04,22.19
2022-01-16 08:50:00,2022-01-16 08:50:00,77.36,26.25,12.41,15.08,1151.22,768.58,54.55,99.46,45.04,22.19
2022-01-16 09:50:00,2022-01-16 09:50:00,78.46,25.85,12.59,16.74,862.28,654.24,54.55,99.46,45.04,22.19
2022-01-16 10:50:00,2022-01-16 10:50:00,79.31,23.79,12.41,18.97,717.81,633.13,54.55,99.46,45.04,22.19
2022-01-16 11:50:00,2022-01-16 11:50:00,79.76,22.49,11.37,17.14,716.88,632.9,54.55,99.46,45.04,22.19
2022-01-16 12:50:00,2022-01-16 12:50:00,80.04,21.96,11.37,15.26,717.94,633.04,54.55,99.46,45.04,22.19
2022-01-16 13:50:00,2022-01-16 13:50:00,79.27,22.9,11.72,13.97,790.16,745.77,54.55,99.46,45.04,22.19
2022-01-16 14:50:00,2022-01-16 14:50:00,78.09,24.28,12.24,14.73,1006.49,776.64,54.55,99.46,45.04,22.19
2022-01-16 15:50:00,2022-01-16 15:50:00,78.31,23.88,12.07,12.58,717.63,735.3,54.55,99.46,45.04,22.19
2022-01-16 16:50:00,2022-01-16 16:50:00,79.25,23.52,12.59,12.36,717.28,734.8,54.55,99.46,45.04,22.19
2022-01-16 17:50:00,2022-01-16 17:50:00,78.76,24.64,12.59,14.23,717.28,734.49,54.55,99.46,45.04,22.19
2022-01-16 18:50:00,2022-01-16 18:50:00,79.0,23.75,12.07,14.95,594.11,716.68,54.55,99.46,45.04,22.19
2022-01-16 19:50:00,2022-01-16 19:50:00,79.01,24.82,12.41,15.31,594.24,677.11,54.55,99.46,45.04,22.19
2022-01-16 20:50:00,2022-01-16 20:50:00,79.08,25.4,12.93,15.89,510.98,649.72,54.55,99.46,45.04,22.19
2022-01-16 21:50:00,2022-01-16 21:50:00,78.74,24.91,12.93,15.58,443.98,635.74,54.55,99.46,45.04,22.19
2022-01-16 22:50:00,2022-01-16 22:50:00,80.06,24.15,13.11,14.77,298.85,575.89,54.55,99.46,45.04,22.19
2022-01-16 23:50:00,2022-01-16 23:50:00,79.87,21.33,11.55,14.01,298.01,575.58,54.55,99.46,45.04,22.19
2022-01-17 00:50:00,2022-01-17 00:50:00,81.47,20.35,10.85,13.16,298.27,575.82,53.21,100.56,46.31,21.65
2022-01-17 01:50:00,2022-01-17 01:50:00,81.52,20.21,10.68,13.16,436.77,638.24,53.21,100.56,46.31,21.65
2022-01-17 02:50:00,2022-01-17 02:50:00,80.61,22.23,12.41,13.07,725.5,700.51,53.21,100.56,46.31,21.65
2022-01-17 03:50:00,2022-01-17 03:50:00,80.4,22.05,12.41,13.03,724.84,699.58,53.21,100.56,46.31,21.65
2022-01-17 04:50:00,2022-01-17 04:50:00,79.03,23.43,13.97,15.13,861.58,729.46,53.21,100.56,46.31,21.65
2022-01-17 05:50:00,2022-01-17 05:50:00,79.05,23.52,13.8,15.4,998.44,759.06,53.21,100.56,46.31,21.65
2022-01-17 06:50:00,2022-01-17 06:50:00,78.76,23.66,13.45,15.31,998.66,758.95,53.21,100.56,46.31,21.65
2022-01-17 07:50:00,2022-01-17 07:50:00,79.75,24.42,12.59,15.89,999.28,759.03,53.21,100.56,46.31,21.65
2022-01-17 08:50:00,2022-01-17 08:50:00,79.89,23.93,12.59,16.02,998.89,759.24,53.21,100.56,46.31,21.65
2022-01-17 09:50:00,2022-01-17 09:50:00,79.79,25.04,12.93,18.66,998.27,758.83,53.21,100.56,46.31,21.65
2022-01-17 10:50:00,2022-01-17 10:50:00,79.89,23.12,12.76,22.46,861.84,729.61,53.21,100.56,46.31,21.65
2022-01-17 11:50:00,2022-01-17 11:50:00,79.62,23.93,12.76,19.15,861.21,729.19,53.21,100.56,46.31,21.65
2022-01-17 12:50:00,2022-01-17 12:50:00,79.59,23.43,12.59,15.8,861.7,729.2,53.21,100.56,46.31,21.65
2022-01-17 13:50:00,2022-01-17 13:50:00,80.44,22.18,12.07,13.61,862.54,729.48,53.21,100.56,46.31,21.65
2022-01-17 14:50:00,2022-01-17 14:50:00,80.16,23.03,12.41,12.09,998.18,786.61,53.21,100.56,46.31,21.65
2022-01-17 15:50:00,2022-01-17 15:50:00,79.89,22.99,12.41,12.62,999.46,786.99,53.21,100.56,46.31,21.65
2022-01-17 16:50:00,2022-01-17 16:50:00,79.75,22.85,12.76,13.97,998.66,786.74,53.21,100.56,46.31,21.65
2022-01-17 17:50:00,2022-01-17 17:50:00,79.71,22.41,12.59,15.75,998.84,786.85,53.21,100.56,46.31,21.65
2022-01-17 18:50:00,2022-01-17 18:50:00,80.13,21.82,12.41,16.56,999.02,786.86,53.21,100.56,46.31,21.65
2022-01-17 19:50:00,2022-01-17 19:50:00,79.58,24.73,12.93,16.11,999.06,787.05,53.21,100.56,46.31,21.65
2022-01-17 20:50:00,2022-01-17 20:50:00,78.63,24.24,12.76,15.53,1136.94,816.71,53.21,100.56,46.31,21.65
2022-01-17 21:50:00,2022-01-17 21:50:00,78.91,23.61,12.24,15.93,1136.72,816.69,53.21,100.56,46.31,21.65
